Training: 2021-07-23 13:07:23,927-rank_id: 0
Training: 2021-07-23 13:41:33,990-Speed 889.94 samples/sec   Loss 37.7594 ArcLoss 36.2868 MSE 1.4725  Epoch: 0   Global Step: 3500   Required: 47 hours
Training: 2021-07-23 13:42:03,061-Speed 881.81 samples/sec   Loss 37.1836 ArcLoss 35.7151 MSE 1.4684  Epoch: 0   Global Step: 3550   Required: 47 hours
Training: 2021-07-23 13:42:31,857-Speed 889.82 samples/sec   Loss 37.0327 ArcLoss 35.5657 MSE 1.4670  Epoch: 0   Global Step: 3600   Required: 47 hours
Training: 2021-07-23 13:43:01,170-Speed 874.48 samples/sec   Loss 36.7892 ArcLoss 35.3224 MSE 1.4668  Epoch: 0   Global Step: 3650   Required: 47 hours
Training: 2021-07-23 13:43:30,243-Speed 881.32 samples/sec   Loss 36.1141 ArcLoss 34.6521 MSE 1.4620  Epoch: 0   Global Step: 3700   Required: 47 hours
Training: 2021-07-23 13:43:59,144-Speed 886.61 samples/sec   Loss 35.8381 ArcLoss 34.3758 MSE 1.4623  Epoch: 0   Global Step: 3750   Required: 47 hours
Training: 2021-07-23 13:44:27,948-Speed 889.92 samples/sec   Loss 35.7508 ArcLoss 34.2886 MSE 1.4621  Epoch: 0   Global Step: 3800   Required: 47 hours
Training: 2021-07-23 13:44:56,895-Speed 885.18 samples/sec   Loss 35.1653 ArcLoss 33.7090 MSE 1.4562  Epoch: 0   Global Step: 3850   Required: 47 hours
Training: 2021-07-23 13:45:25,820-Speed 885.87 samples/sec   Loss 34.6961 ArcLoss 33.2400 MSE 1.4561  Epoch: 0   Global Step: 3900   Required: 47 hours
Training: 2021-07-23 13:45:54,603-Speed 890.24 samples/sec   Loss 34.5993 ArcLoss 33.1451 MSE 1.4542  Epoch: 0   Global Step: 3950   Required: 47 hours
Training: 2021-07-23 13:46:23,678-Speed 881.28 samples/sec   Loss 34.5152 ArcLoss 33.0612 MSE 1.4540  Epoch: 0   Global Step: 4000   Required: 47 hours
Training: 2021-07-23 13:46:52,474-Speed 889.90 samples/sec   Loss 33.9872 ArcLoss 32.5366 MSE 1.4506  Epoch: 0   Global Step: 4050   Required: 47 hours
Training: 2021-07-23 13:47:21,256-Speed 890.56 samples/sec   Loss 33.8461 ArcLoss 32.4001 MSE 1.4460  Epoch: 0   Global Step: 4100   Required: 47 hours
Training: 2021-07-23 13:47:50,328-Speed 881.37 samples/sec   Loss 33.6276 ArcLoss 32.1820 MSE 1.4457  Epoch: 0   Global Step: 4150   Required: 47 hours
Training: 2021-07-23 13:48:19,425-Speed 880.61 samples/sec   Loss 33.6913 ArcLoss 32.2470 MSE 1.4444  Epoch: 0   Global Step: 4200   Required: 47 hours
Training: 2021-07-23 13:48:48,492-Speed 881.57 samples/sec   Loss 32.9422 ArcLoss 31.4994 MSE 1.4428  Epoch: 0   Global Step: 4250   Required: 47 hours
Training: 2021-07-23 13:49:17,281-Speed 890.06 samples/sec   Loss 32.6795 ArcLoss 31.2376 MSE 1.4418  Epoch: 0   Global Step: 4300   Required: 47 hours
Training: 2021-07-23 13:49:46,113-Speed 888.69 samples/sec   Loss 32.4964 ArcLoss 31.0539 MSE 1.4425  Epoch: 0   Global Step: 4350   Required: 47 hours
Training: 2021-07-23 13:50:15,030-Speed 886.49 samples/sec   Loss 32.0932 ArcLoss 30.6533 MSE 1.4399  Epoch: 0   Global Step: 4400   Required: 47 hours
Training: 2021-07-23 13:50:44,103-Speed 881.65 samples/sec   Loss 32.0645 ArcLoss 30.6286 MSE 1.4358  Epoch: 0   Global Step: 4450   Required: 47 hours
Training: 2021-07-23 13:51:12,902-Speed 889.84 samples/sec   Loss 31.8774 ArcLoss 30.4481 MSE 1.4293  Epoch: 0   Global Step: 4500   Required: 47 hours
Training: 2021-07-23 13:51:41,974-Speed 881.37 samples/sec   Loss 31.8747 ArcLoss 30.4431 MSE 1.4317  Epoch: 0   Global Step: 4550   Required: 47 hours
Training: 2021-07-23 13:52:10,765-Speed 890.33 samples/sec   Loss 31.2578 ArcLoss 29.8299 MSE 1.4279  Epoch: 0   Global Step: 4600   Required: 47 hours
Training: 2021-07-23 13:52:39,562-Speed 889.78 samples/sec   Loss 31.0725 ArcLoss 29.6433 MSE 1.4292  Epoch: 0   Global Step: 4650   Required: 47 hours
Training: 2021-07-23 13:53:08,647-Speed 881.00 samples/sec   Loss 30.9726 ArcLoss 29.5477 MSE 1.4249  Epoch: 0   Global Step: 4700   Required: 47 hours
Training: 2021-07-23 13:53:37,841-Speed 877.72 samples/sec   Loss 30.6791 ArcLoss 29.2587 MSE 1.4205  Epoch: 0   Global Step: 4750   Required: 47 hours
Training: 2021-07-23 13:54:07,069-Speed 876.64 samples/sec   Loss 30.7445 ArcLoss 29.3285 MSE 1.4160  Epoch: 0   Global Step: 4800   Required: 47 hours
Training: 2021-07-23 13:54:36,748-Speed 863.38 samples/sec   Loss 30.5897 ArcLoss 29.1716 MSE 1.4182  Epoch: 0   Global Step: 4850   Required: 47 hours
Training: 2021-07-23 13:55:06,304-Speed 866.93 samples/sec   Loss 30.4243 ArcLoss 29.0081 MSE 1.4162  Epoch: 0   Global Step: 4900   Required: 47 hours
Training: 2021-07-23 13:55:35,218-Speed 886.18 samples/sec   Loss 30.0101 ArcLoss 28.5981 MSE 1.4120  Epoch: 0   Global Step: 4950   Required: 47 hours
Training: 2021-07-23 13:56:04,118-Speed 886.61 samples/sec   Loss 29.9637 ArcLoss 28.5526 MSE 1.4111  Epoch: 0   Global Step: 5000   Required: 47 hours
Training: 2021-07-23 13:56:32,905-Speed 890.40 samples/sec   Loss 30.0366 ArcLoss 28.6221 MSE 1.4145  Epoch: 0   Global Step: 5050   Required: 47 hours
Training: 2021-07-23 13:57:02,435-Speed 867.71 samples/sec   Loss 29.5104 ArcLoss 28.0986 MSE 1.4117  Epoch: 0   Global Step: 5100   Required: 47 hours
Training: 2021-07-23 13:57:32,184-Speed 861.30 samples/sec   Loss 29.4298 ArcLoss 28.0204 MSE 1.4093  Epoch: 0   Global Step: 5150   Required: 47 hours
Training: 2021-07-23 13:58:00,979-Speed 889.93 samples/sec   Loss 29.1568 ArcLoss 27.7494 MSE 1.4074  Epoch: 0   Global Step: 5200   Required: 47 hours
Training: 2021-07-23 13:58:30,069-Speed 881.16 samples/sec   Loss 29.2742 ArcLoss 27.8690 MSE 1.4051  Epoch: 0   Global Step: 5250   Required: 47 hours
Training: 2021-07-23 13:58:58,866-Speed 889.77 samples/sec   Loss 28.9475 ArcLoss 27.5442 MSE 1.4034  Epoch: 0   Global Step: 5300   Required: 47 hours
Training: 2021-07-23 13:59:28,326-Speed 869.77 samples/sec   Loss 28.9323 ArcLoss 27.5317 MSE 1.4005  Epoch: 0   Global Step: 5350   Required: 47 hours
Training: 2021-07-23 13:59:57,131-Speed 889.87 samples/sec   Loss 29.0025 ArcLoss 27.6025 MSE 1.4000  Epoch: 0   Global Step: 5400   Required: 47 hours
Training: 2021-07-23 14:00:26,038-Speed 886.41 samples/sec   Loss 28.6685 ArcLoss 27.2714 MSE 1.3971  Epoch: 0   Global Step: 5450   Required: 47 hours
Training: 2021-07-23 14:00:54,833-Speed 889.85 samples/sec   Loss 28.8236 ArcLoss 27.4300 MSE 1.3936  Epoch: 0   Global Step: 5500   Required: 47 hours
Training: 2021-07-23 14:01:23,758-Speed 885.92 samples/sec   Loss 28.4203 ArcLoss 27.0247 MSE 1.3955  Epoch: 0   Global Step: 5550   Required: 47 hours
Training: 2021-07-23 14:01:52,833-Speed 881.25 samples/sec   Loss 28.3898 ArcLoss 26.9988 MSE 1.3910  Epoch: 0   Global Step: 5600   Required: 47 hours
Training: 2021-07-23 14:02:21,662-Speed 888.86 samples/sec   Loss 28.4229 ArcLoss 27.0333 MSE 1.3896  Epoch: 0   Global Step: 5650   Required: 47 hours
Training: 2021-07-23 14:03:28,255-[lfw][5686]XNorm: 12.208366
Training: 2021-07-23 14:03:28,255-[lfw][5686]Accuracy-Flip: 0.96533+-0.01108
Training: 2021-07-23 14:03:28,255-[lfw][5686]Accuracy-Highest: 0.96533
Training: 2021-07-23 14:03:36,264-Speed 343.28 samples/sec   Loss 28.2584 ArcLoss 26.8732 MSE 1.3852  Epoch: 0   Global Step: 5700   Required: 47 hours
Training: 2021-07-23 14:04:04,925-Speed 894.10 samples/sec   Loss 28.2477 ArcLoss 26.8594 MSE 1.3883  Epoch: 0   Global Step: 5750   Required: 47 hours
Training: 2021-07-23 14:04:34,055-Speed 879.62 samples/sec   Loss 28.0168 ArcLoss 26.6304 MSE 1.3864  Epoch: 0   Global Step: 5800   Required: 47 hours
Training: 2021-07-23 14:05:02,857-Speed 889.79 samples/sec   Loss 28.0194 ArcLoss 26.6365 MSE 1.3829  Epoch: 0   Global Step: 5850   Required: 47 hours
Training: 2021-07-23 14:05:32,057-Speed 877.52 samples/sec   Loss 27.9483 ArcLoss 26.5655 MSE 1.3828  Epoch: 0   Global Step: 5900   Required: 47 hours
Training: 2021-07-23 14:06:00,873-Speed 889.24 samples/sec   Loss 27.6102 ArcLoss 26.2318 MSE 1.3784  Epoch: 0   Global Step: 5950   Required: 47 hours
Training: 2021-07-23 14:06:29,696-Speed 889.05 samples/sec   Loss 27.6138 ArcLoss 26.2371 MSE 1.3767  Epoch: 0   Global Step: 6000   Required: 47 hours
Training: 2021-07-23 14:06:58,625-Speed 886.07 samples/sec   Loss 27.6727 ArcLoss 26.3003 MSE 1.3724  Epoch: 0   Global Step: 6050   Required: 47 hours
Training: 2021-07-23 14:07:27,730-Speed 880.45 samples/sec   Loss 27.6366 ArcLoss 26.2626 MSE 1.3740  Epoch: 0   Global Step: 6100   Required: 47 hours
Training: 2021-07-23 14:07:56,830-Speed 880.51 samples/sec   Loss 27.1830 ArcLoss 25.8137 MSE 1.3693  Epoch: 0   Global Step: 6150   Required: 47 hours
Training: 2021-07-23 14:08:25,661-Speed 888.86 samples/sec   Loss 27.2810 ArcLoss 25.9122 MSE 1.3688  Epoch: 0   Global Step: 6200   Required: 47 hours
Training: 2021-07-23 14:08:55,350-Speed 863.05 samples/sec   Loss 27.3708 ArcLoss 26.0007 MSE 1.3701  Epoch: 0   Global Step: 6250   Required: 47 hours
Training: 2021-07-23 14:09:25,080-Speed 861.96 samples/sec   Loss 26.9957 ArcLoss 25.6320 MSE 1.3637  Epoch: 0   Global Step: 6300   Required: 47 hours
Training: 2021-07-23 14:09:54,918-Speed 858.75 samples/sec   Loss 26.8796 ArcLoss 25.5154 MSE 1.3642  Epoch: 0   Global Step: 6350   Required: 47 hours
Training: 2021-07-23 14:10:24,878-Speed 855.58 samples/sec   Loss 26.7400 ArcLoss 25.3778 MSE 1.3623  Epoch: 0   Global Step: 6400   Required: 47 hours
Training: 2021-07-23 14:10:54,872-Speed 854.26 samples/sec   Loss 26.9163 ArcLoss 25.5545 MSE 1.3619  Epoch: 0   Global Step: 6450   Required: 47 hours
Training: 2021-07-23 14:11:24,604-Speed 861.89 samples/sec   Loss 26.7870 ArcLoss 25.4285 MSE 1.3585  Epoch: 0   Global Step: 6500   Required: 47 hours
Training: 2021-07-23 14:11:54,307-Speed 862.67 samples/sec   Loss 26.3821 ArcLoss 25.0274 MSE 1.3547  Epoch: 0   Global Step: 6550   Required: 47 hours
