Training: 2021-07-14 14:41:30,833-rank_id: 0
Training: 2021-07-14 15:00:26,387-Speed 1135.59 samples/sec   Loss 42.7135   Epoch: 0   Global Step: 4650   Required: 21 hours
Training: 2021-07-14 15:00:37,658-Speed 1135.63 samples/sec   Loss 42.5412   Epoch: 0   Global Step: 4700   Required: 21 hours
Training: 2021-07-14 15:00:48,893-Speed 1139.40 samples/sec   Loss 42.3818   Epoch: 0   Global Step: 4750   Required: 21 hours
Training: 2021-07-14 15:01:00,646-Speed 1089.03 samples/sec   Loss 42.0667   Epoch: 0   Global Step: 4800   Required: 21 hours
Training: 2021-07-14 15:01:12,107-Speed 1116.92 samples/sec   Loss 41.8516   Epoch: 0   Global Step: 4850   Required: 21 hours
Training: 2021-07-14 15:01:23,438-Speed 1129.63 samples/sec   Loss 41.4900   Epoch: 0   Global Step: 4900   Required: 21 hours
Training: 2021-07-14 15:01:34,996-Speed 1107.48 samples/sec   Loss 41.4808   Epoch: 0   Global Step: 4950   Required: 21 hours
Training: 2021-07-14 15:01:46,390-Speed 1123.44 samples/sec   Loss 41.2309   Epoch: 0   Global Step: 5000   Required: 21 hours
Training: 2021-07-14 15:01:57,683-Speed 1133.47 samples/sec   Loss 40.9312   Epoch: 0   Global Step: 5050   Required: 21 hours
Training: 2021-07-14 15:02:09,249-Speed 1106.78 samples/sec   Loss 40.6435   Epoch: 0   Global Step: 5100   Required: 21 hours
Training: 2021-07-14 15:02:20,551-Speed 1132.55 samples/sec   Loss 40.5397   Epoch: 0   Global Step: 5150   Required: 21 hours
Training: 2021-07-14 15:02:31,839-Speed 1134.02 samples/sec   Loss 40.3397   Epoch: 0   Global Step: 5200   Required: 21 hours
Training: 2021-07-14 15:02:43,395-Speed 1107.63 samples/sec   Loss 39.7088   Epoch: 0   Global Step: 5250   Required: 21 hours
Training: 2021-07-14 15:02:54,930-Speed 1109.72 samples/sec   Loss 39.7440   Epoch: 0   Global Step: 5300   Required: 21 hours
Training: 2021-07-14 15:03:06,114-Speed 1144.55 samples/sec   Loss 39.4660   Epoch: 0   Global Step: 5350   Required: 21 hours
Training: 2021-07-14 15:03:17,868-Speed 1088.97 samples/sec   Loss 39.3613   Epoch: 0   Global Step: 5400   Required: 21 hours
Training: 2021-07-14 15:03:29,429-Speed 1107.22 samples/sec   Loss 38.9206   Epoch: 0   Global Step: 5450   Required: 21 hours
Training: 2021-07-14 15:03:41,114-Speed 1095.43 samples/sec   Loss 38.9260   Epoch: 0   Global Step: 5500   Required: 21 hours
Training: 2021-07-14 15:03:53,311-Speed 1049.51 samples/sec   Loss 38.5702   Epoch: 0   Global Step: 5550   Required: 21 hours
Training: 2021-07-14 15:04:05,426-Speed 1056.50 samples/sec   Loss 38.3335   Epoch: 0   Global Step: 5600   Required: 21 hours
Training: 2021-07-14 15:04:16,761-Speed 1129.28 samples/sec   Loss 37.9296   Epoch: 0   Global Step: 5650   Required: 21 hours
Training: 2021-07-14 15:05:11,647-[lfw][5686]XNorm: 12.648505
Training: 2021-07-14 15:05:11,647-[lfw][5686]Accuracy-Flip: 0.93067+-0.01017
Training: 2021-07-14 15:05:11,647-[lfw][5686]Accuracy-Highest: 0.93067
Training: 2021-07-14 15:05:14,884-Speed 220.23 samples/sec   Loss 38.0211   Epoch: 0   Global Step: 5700   Required: 21 hours
Training: 2021-07-14 15:05:26,477-Speed 1104.16 samples/sec   Loss 37.4106   Epoch: 0   Global Step: 5750   Required: 21 hours
Training: 2021-07-14 15:05:37,994-Speed 1111.43 samples/sec   Loss 37.3186   Epoch: 0   Global Step: 5800   Required: 21 hours
Training: 2021-07-14 15:05:49,259-Speed 1136.26 samples/sec   Loss 37.0371   Epoch: 0   Global Step: 5850   Required: 21 hours
Training: 2021-07-14 15:06:00,766-Speed 1112.38 samples/sec   Loss 36.8405   Epoch: 0   Global Step: 5900   Required: 21 hours
Training: 2021-07-14 15:06:12,210-Speed 1118.53 samples/sec   Loss 36.6828   Epoch: 0   Global Step: 5950   Required: 21 hours
Training: 2021-07-14 15:06:23,695-Speed 1114.52 samples/sec   Loss 36.3666   Epoch: 0   Global Step: 6000   Required: 21 hours
Training: 2021-07-14 15:06:34,954-Speed 1136.88 samples/sec   Loss 36.2088   Epoch: 0   Global Step: 6050   Required: 21 hours
Training: 2021-07-14 15:06:46,252-Speed 1133.06 samples/sec   Loss 35.8404   Epoch: 0   Global Step: 6100   Required: 21 hours
Training: 2021-07-14 15:06:57,518-Speed 1136.17 samples/sec   Loss 35.7251   Epoch: 0   Global Step: 6150   Required: 21 hours
Training: 2021-07-14 15:07:09,278-Speed 1088.47 samples/sec   Loss 35.3423   Epoch: 0   Global Step: 6200   Required: 21 hours
Training: 2021-07-14 15:07:20,779-Speed 1112.96 samples/sec   Loss 35.2381   Epoch: 0   Global Step: 6250   Required: 21 hours
Training: 2021-07-14 15:07:32,263-Speed 1114.65 samples/sec   Loss 35.1125   Epoch: 0   Global Step: 6300   Required: 21 hours
Training: 2021-07-14 15:07:43,490-Speed 1140.13 samples/sec   Loss 34.7382   Epoch: 0   Global Step: 6350   Required: 21 hours
Training: 2021-07-14 15:07:54,680-Speed 1143.89 samples/sec   Loss 34.7510   Epoch: 0   Global Step: 6400   Required: 21 hours
Training: 2021-07-14 15:08:06,051-Speed 1125.73 samples/sec   Loss 34.6722   Epoch: 0   Global Step: 6450   Required: 21 hours
Training: 2021-07-14 15:08:17,684-Speed 1100.31 samples/sec   Loss 34.4619   Epoch: 0   Global Step: 6500   Required: 21 hours
Training: 2021-07-14 15:08:29,060-Speed 1125.18 samples/sec   Loss 34.1004   Epoch: 0   Global Step: 6550   Required: 21 hours
Training: 2021-07-14 15:08:40,679-Speed 1101.74 samples/sec   Loss 34.1176   Epoch: 0   Global Step: 6600   Required: 21 hours
Training: 2021-07-14 15:08:52,540-Speed 1079.14 samples/sec   Loss 33.6809   Epoch: 0   Global Step: 6650   Required: 21 hours
Training: 2021-07-14 15:09:04,137-Speed 1103.81 samples/sec   Loss 33.6429   Epoch: 0   Global Step: 6700   Required: 21 hours
Training: 2021-07-14 15:09:15,476-Speed 1128.84 samples/sec   Loss 33.5381   Epoch: 0   Global Step: 6750   Required: 21 hours
Training: 2021-07-14 15:09:27,213-Speed 1090.60 samples/sec   Loss 33.4396   Epoch: 0   Global Step: 6800   Required: 21 hours
Training: 2021-07-14 15:09:38,668-Speed 1117.44 samples/sec   Loss 33.0987   Epoch: 0   Global Step: 6850   Required: 21 hours
Training: 2021-07-14 15:09:50,385-Speed 1092.48 samples/sec   Loss 33.0772   Epoch: 0   Global Step: 6900   Required: 21 hours
Training: 2021-07-14 15:10:01,950-Speed 1106.81 samples/sec   Loss 32.9038   Epoch: 0   Global Step: 6950   Required: 21 hours
Training: 2021-07-14 15:10:13,505-Speed 1107.77 samples/sec   Loss 32.7431   Epoch: 0   Global Step: 7000   Required: 21 hours
Training: 2021-07-14 15:10:24,962-Speed 1117.29 samples/sec   Loss 32.2950   Epoch: 0   Global Step: 7050   Required: 21 hours
Training: 2021-07-14 15:10:36,584-Speed 1101.33 samples/sec   Loss 32.4632   Epoch: 0   Global Step: 7100   Required: 21 hours
Training: 2021-07-14 15:10:48,265-Speed 1095.91 samples/sec   Loss 32.2877   Epoch: 0   Global Step: 7150   Required: 21 hours
Training: 2021-07-14 15:11:00,187-Speed 1073.62 samples/sec   Loss 32.1407   Epoch: 0   Global Step: 7200   Required: 21 hours
Training: 2021-07-14 15:11:11,619-Speed 1119.73 samples/sec   Loss 32.0207   Epoch: 0   Global Step: 7250   Required: 21 hours
Training: 2021-07-14 15:11:23,049-Speed 1119.87 samples/sec   Loss 31.7759   Epoch: 0   Global Step: 7300   Required: 21 hours
Training: 2021-07-14 15:11:34,478-Speed 1120.02 samples/sec   Loss 31.8838   Epoch: 0   Global Step: 7350   Required: 21 hours
Training: 2021-07-14 15:11:46,183-Speed 1093.56 samples/sec   Loss 31.5731   Epoch: 0   Global Step: 7400   Required: 21 hours
Training: 2021-07-14 15:11:57,974-Speed 1085.60 samples/sec   Loss 31.4015   Epoch: 0   Global Step: 7450   Required: 21 hours
Training: 2021-07-14 15:12:10,809-Speed 997.30 samples/sec   Loss 31.3812   Epoch: 0   Global Step: 7500   Required: 21 hours
Training: 2021-07-14 15:12:22,784-Speed 1068.95 samples/sec   Loss 31.1280   Epoch: 0   Global Step: 7550   Required: 21 hours
Training: 2021-07-14 15:12:34,935-Speed 1053.45 samples/sec   Loss 31.0782   Epoch: 0   Global Step: 7600   Required: 21 hours
Training: 2021-07-14 15:12:46,623-Speed 1095.19 samples/sec   Loss 30.9445   Epoch: 0   Global Step: 7650   Required: 21 hours
Training: 2021-07-14 15:12:58,292-Speed 1096.94 samples/sec   Loss 31.0071   Epoch: 0   Global Step: 7700   Required: 21 hours
Training: 2021-07-14 15:13:09,868-Speed 1105.69 samples/sec   Loss 30.7514   Epoch: 0   Global Step: 7750   Required: 21 hours
Training: 2021-07-14 15:13:21,740-Speed 1078.22 samples/sec   Loss 30.6191   Epoch: 0   Global Step: 7800   Required: 21 hours
Training: 2021-07-14 15:13:33,395-Speed 1098.28 samples/sec   Loss 30.6799   Epoch: 0   Global Step: 7850   Required: 21 hours
