Training: 2021-07-27 11:43:52,631-rank_id: 0
Training: 2021-07-27 13:42:24,144-Speed 565.08 samples/sec   Loss 26.7791 ArcLoss 25.6620 MSE 1.1171  Epoch: 0   Global Step: 6050   Required: 94 hours
Training: 2021-07-27 13:43:01,789-Speed 680.34 samples/sec   Loss 26.7406 ArcLoss 25.6235 MSE 1.1171  Epoch: 0   Global Step: 6100   Required: 94 hours
Training: 2021-07-27 13:43:35,084-Speed 768.88 samples/sec   Loss 26.2781 ArcLoss 25.1673 MSE 1.1107  Epoch: 0   Global Step: 6150   Required: 93 hours
Training: 2021-07-27 13:44:05,741-Speed 835.07 samples/sec   Loss 26.4774 ArcLoss 25.3691 MSE 1.1083  Epoch: 0   Global Step: 6200   Required: 93 hours
Training: 2021-07-27 13:44:36,099-Speed 843.27 samples/sec   Loss 26.4748 ArcLoss 25.3668 MSE 1.1080  Epoch: 0   Global Step: 6250   Required: 93 hours
Training: 2021-07-27 13:45:06,763-Speed 834.86 samples/sec   Loss 26.1719 ArcLoss 25.0698 MSE 1.1021  Epoch: 0   Global Step: 6300   Required: 92 hours
Training: 2021-07-27 13:45:37,108-Speed 843.65 samples/sec   Loss 26.0532 ArcLoss 24.9538 MSE 1.0994  Epoch: 0   Global Step: 6350   Required: 92 hours
Training: 2021-07-27 13:46:07,393-Speed 845.31 samples/sec   Loss 26.0883 ArcLoss 24.9900 MSE 1.0983  Epoch: 0   Global Step: 6400   Required: 92 hours
Training: 2021-07-27 13:46:37,620-Speed 846.94 samples/sec   Loss 26.0098 ArcLoss 24.9162 MSE 1.0936  Epoch: 0   Global Step: 6450   Required: 91 hours
Training: 2021-07-27 13:47:08,065-Speed 840.88 samples/sec   Loss 25.9073 ArcLoss 24.8119 MSE 1.0954  Epoch: 0   Global Step: 6500   Required: 91 hours
Training: 2021-07-27 13:47:38,495-Speed 841.28 samples/sec   Loss 25.5161 ArcLoss 24.4280 MSE 1.0880  Epoch: 0   Global Step: 6550   Required: 91 hours
Training: 2021-07-27 13:48:08,614-Speed 849.97 samples/sec   Loss 25.8821 ArcLoss 24.7986 MSE 1.0835  Epoch: 0   Global Step: 6600   Required: 90 hours
Training: 2021-07-27 13:48:38,971-Speed 843.29 samples/sec   Loss 25.5119 ArcLoss 24.4312 MSE 1.0808  Epoch: 0   Global Step: 6650   Required: 90 hours
